Idcell;X_norm;Y_norm;areaCell;suitableArea
1;0;0;4000000;4000000
2;2000;0;4000000;4000000
3;4000;0;4000000;4000000
4;6000;0;4000000;4000000
5;8000;0;4000000;4000000
6;10000;0;4000000;4000000
7;12000;0;4000000;4000000
8;14000;0;4000000;4000000
9;16000;0;4000000;4000000
10;18000;0;4000000;4000000
11;20000;0;4000000;4000000
12;22000;0;4000000;4000000
13;24000;0;4000000;4000000
14;26000;0;4000000;4000000
15;28000;0;4000000;4000000
16;30000;0;4000000;4000000
17;32000;0;4000000;4000000
18;34000;0;4000000;4000000
19;36000;0;4000000;4000000
20;38000;0;4000000;4000000
21;40000;0;4000000;4000000
22;42000;0;4000000;4000000
23;44000;0;4000000;4000000
24;46000;0;4000000;4000000
25;48000;0;4000000;4000000
26;50000;0;4000000;4000000
27;52000;0;4000000;4000000
28;54000;0;4000000;4000000
29;56000;0;4000000;4000000
30;58000;0;4000000;4000000
31;60000;0;4000000;4000000
32;62000;0;4000000;4000000
33;64000;0;4000000;4000000
34;66000;0;4000000;4000000
35;68000;0;4000000;4000000
36;70000;0;4000000;4000000
37;72000;0;4000000;4000000
38;74000;0;4000000;4000000
39;76000;0;4000000;4000000
40;78000;0;4000000;4000000
41;80000;0;4000000;4000000
42;82000;0;4000000;4000000
43;84000;0;4000000;4000000
44;86000;0;4000000;4000000
45;88000;0;4000000;4000000
46;90000;0;4000000;4000000
47;92000;0;4000000;4000000
48;94000;0;4000000;4000000
49;96000;0;4000000;4000000
50;98000;0;4000000;4000000
51;100000;0;4000000;4000000
52;102000;0;4000000;4000000
53;104000;0;4000000;4000000
54;106000;0;4000000;4000000
55;108000;0;4000000;4000000
56;110000;0;4000000;4000000
57;112000;0;4000000;4000000
58;114000;0;4000000;4000000
59;0;2000;4000000;4000000
60;2000;2000;4000000;4000000
61;4000;2000;4000000;4000000
62;6000;2000;4000000;4000000
63;8000;2000;4000000;4000000
64;10000;2000;4000000;4000000
65;12000;2000;4000000;4000000
66;14000;2000;4000000;4000000
67;16000;2000;4000000;4000000
68;18000;2000;4000000;4000000
69;20000;2000;4000000;4000000
70;22000;2000;4000000;4000000
71;24000;2000;4000000;4000000
72;26000;2000;4000000;4000000
73;28000;2000;4000000;4000000
74;30000;2000;4000000;4000000
75;32000;2000;4000000;4000000
76;34000;2000;4000000;4000000
77;36000;2000;4000000;4000000
78;38000;2000;4000000;4000000
79;40000;2000;4000000;4000000
80;42000;2000;4000000;4000000
81;44000;2000;4000000;4000000
82;46000;2000;4000000;4000000
83;48000;2000;4000000;4000000
84;50000;2000;4000000;4000000
85;52000;2000;4000000;4000000
86;54000;2000;4000000;4000000
87;56000;2000;4000000;4000000
88;58000;2000;4000000;4000000
89;60000;2000;4000000;4000000
90;62000;2000;4000000;4000000
91;64000;2000;4000000;4000000
92;66000;2000;4000000;4000000
93;68000;2000;4000000;4000000
94;70000;2000;4000000;4000000
95;72000;2000;4000000;4000000
96;74000;2000;4000000;4000000
97;76000;2000;4000000;4000000
98;78000;2000;4000000;4000000
99;80000;2000;4000000;4000000
100;82000;2000;4000000;4000000
101;84000;2000;4000000;4000000
102;86000;2000;4000000;4000000
103;88000;2000;4000000;4000000
104;90000;2000;4000000;4000000
105;92000;2000;4000000;4000000
106;94000;2000;4000000;4000000
107;96000;2000;4000000;4000000
108;98000;2000;4000000;4000000
109;100000;2000;4000000;4000000
110;102000;2000;4000000;4000000
111;104000;2000;4000000;4000000
112;106000;2000;4000000;4000000
113;108000;2000;4000000;4000000
114;110000;2000;4000000;4000000
115;112000;2000;4000000;4000000
116;114000;2000;4000000;4000000
117;0;4000;4000000;4000000
118;2000;4000;4000000;4000000
119;4000;4000;4000000;4000000
120;6000;4000;4000000;4000000
121;8000;4000;4000000;4000000
122;10000;4000;4000000;4000000
123;12000;4000;4000000;4000000
124;14000;4000;4000000;4000000
125;16000;4000;4000000;4000000
126;18000;4000;4000000;4000000
127;20000;4000;4000000;4000000
128;22000;4000;4000000;4000000
129;24000;4000;4000000;4000000
130;26000;4000;4000000;4000000
131;28000;4000;4000000;4000000
132;30000;4000;4000000;4000000
133;32000;4000;4000000;4000000
134;34000;4000;4000000;4000000
135;36000;4000;4000000;4000000
136;38000;4000;4000000;4000000
137;40000;4000;4000000;4000000
138;42000;4000;4000000;4000000
139;44000;4000;4000000;4000000
140;46000;4000;4000000;4000000
141;48000;4000;4000000;4000000
142;50000;4000;4000000;4000000
143;52000;4000;4000000;4000000
144;54000;4000;4000000;4000000
145;56000;4000;4000000;4000000
146;58000;4000;4000000;4000000
147;60000;4000;4000000;4000000
148;62000;4000;4000000;4000000
149;64000;4000;4000000;4000000
150;66000;4000;4000000;4000000
151;68000;4000;4000000;4000000
